score,decision,empresa_existent,empresa_nova,municipi_existent,municipi_nou,senyals
0.684,PENDENT,MASIA PUIGMOLTO S.L,MASIA PUIGMULTÓ SL,Castellet i La Gornal,,"""{\""nom_similar\"":true,\""score\"":0.684210538864136,\""existent\"":\""MASIA PUIGMOLTO S.L\"",\""nou\"":\""MASIA PUIGMULTÓ SL\"",\""mateixa_poblacio\"":false}"""
0.682,PENDENT,J. GARCIA CARRION SA,"Garcia Carrion 1890, SL",Madrid,Vilanova i La Geltrú,"""{\""nom_similar\"":true,\""score\"":0.681818187236786,\""existent\"":\""J. GARCIA CARRION SA\"",\""nou\"":\""Garcia Carrion 1890, SL\"",\""mateixa_poblacio\"":false}"""
0.682,PENDENT,BODEGUES SUMARROCA,BODEGAS SUMARROCA SL,Subirats,,"""{\""nom_similar\"":true,\""score\"":0.681818187236786,\""existent\"":\""BODEGUES SUMARROCA\"",\""nou\"":\""BODEGAS SUMARROCA SL\"",\""mateixa_poblacio\"":false}"""
0.667,PENDENT,FELIX MASSANA S.L,Fèlix Massana Ràfols,Subirats,Sant Pau d'Ordal,"""{\""nom_similar\"":true,\""score\"":0.666666686534882,\""existent\"":\""FELIX MASSANA S.L\"",\""nou\"":\""Fèlix Massana Ràfols\"",\""mateixa_poblacio\"":false}"""
0.667,PENDENT,CELLERS ALSINA S.L,CELLERS ALZINA,El Pla del Penedès,,"""{\""nom_similar\"":true,\""score\"":0.666666686534882,\""existent\"":\""CELLERS ALSINA S.L\"",\""nou\"":\""CELLERS ALZINA\"",\""mateixa_poblacio\"":false}"""
0.667,PENDENT,"Celler Coop i SC de Vila-rodona, SCCL – Bràfim","Celler Cooperatiu i SC de Vila-Rodona, SCCL",Bràfim,Vila-Rodona,"""{\""nom_similar\"":true,\""score\"":0.666666686534882,\""existent\"":\""Celler Coop i SC de Vila-rodona, SCCL – Bràfim\"",\""nou\"":\""Celler Cooperatiu i SC de Vila-Rodona, SCCL\"",\""mateixa_poblacio\"":false}"""
0.667,PENDENT,Rebbe JORDI LLUCH LLUCH,"Lluch Lluch, Jordi",,Sant Quintí de Mediona,"""{\""nom_similar\"":true,\""score\"":0.666666686534882,\""existent\"":\""Rebbe JORDI LLUCH LLUCH\"",\""nou\"":\""Lluch Lluch, Jordi\"",\""mateixa_poblacio\"":false}"""
0.667,PENDENT,Rovellats,Cava Rovellats,Sant Martí Sarroca,,"""{\""nom_similar\"":true,\""score\"":0.666666686534882,\""existent\"":\""Rovellats\"",\""nou\"":\""Cava Rovellats\"",\""mateixa_poblacio\"":false}"""
0.654,PENDENT,BODEGUES CAN N'ESTELLA S.L,Bodega Ca N'Estella,Sant Esteve Sesrovires,,"""{\""nom_similar\"":true,\""score\"":0.653846144676208,\""existent\"":\""BODEGUES CAN N'ESTELLA S.L\"",\""nou\"":\""Bodega Ca N'Estella\"",\""mateixa_poblacio\"":false}"""
0.650,PENDENT,EUDALD MASSANA NOYA,"Massana Noya, S.L.",,Subirats,"""{\""nom_similar\"":true,\""score\"":0.649999976158142,\""existent\"":\""EUDALD MASSANA NOYA\"",\""nou\"":\""Massana Noya, S.L.\"",\""mateixa_poblacio\"":false}"""
0.643,PENDENT,"Centre Vinícola del Penedès, SCCL – L’Arboç (Camí Taberner)","Centre Vinícola del Penedès, SCCL – L’Arboç (Km. 3,8)",L’Arboç,L’Arboç,"""{\""nom_similar\"":true,\""score\"":0.642857134342194,\""existent\"":\""Centre Vinícola del Penedès, SCCL – L’Arboç (Camí Taberner)\"",\""nou\"":\""Centre Vinícola del Penedès, SCCL – L’Arboç (Km. 3,8)\"",\""mateixa_poblacio\"":false}"""
0.643,PENDENT,ALMIRALL SCP,Almirall SCP / Cava Almirall,,,"""{\""nom_similar\"":true,\""score\"":0.642857134342194,\""existent\"":\""ALMIRALL SCP\"",\""nou\"":\""Almirall SCP / Cava Almirall\"",\""mateixa_poblacio\"":false}"""
